Current Firmware,3.30,MAC,b4:8a:0a:4d:46:8c,ChipID,105660544,Updated,20230809 23:53:48,Short Chip ID,0544
Current Firmware,3.30,MAC,b4:8a:0a:4c:b3:e4,ChipID,54833376,Updated,20230809 23:54:33,Short Chip ID,3376
Current Firmware,3.30,MAC,40:22:d8:e0:6f:50,ChipID,266362960,Updated,20230809 23:55:16,Short Chip ID,2960
Current Firmware,3.30,MAC,40:22:d8:e0:6f:58,ChipID,266887248,Updated,20230809 23:55:59,Short Chip ID,7248
Current Firmware,3.30,MAC,40:22:d8:e0:6f:60,ChipID,266362976,Updated,20230809 23:56:44,Short Chip ID,2976
Current Firmware,3.30,MAC,40:22:d8:e0:6f:1c,ChipID,267149328,Updated,20230809 23:57:27,Short Chip ID,9328
Current Firmware,3.30,MAC,40:22:d8:e0:6f:20,ChipID,266362912,Updated,20230809 23:58:10,Short Chip ID,2912
Current Firmware,3.30,MAC,40:22:d8:e0:6f:30,ChipID,266362928,Updated,20230809 23:58:56,Short Chip ID,2928
Current Firmware,3.30,MAC,40:22:d8:e0:6f:40,ChipID,266362944,Updated,20230809 23:59:40,Short Chip ID,2944
Current Firmware,3.30,MAC,40:22:d8:e0:6f:3c,ChipID,267149360,Updated,20230810 00:00:24,Short Chip ID,9360
Current Firmware,3.30,MAC,b4:8a:0a:4c:ab:4c,ChipID,189571136,Updated,20230810 00:01:08,Short Chip ID,1136
Current Firmware,3.30,MAC,b4:8a:0a:4e:b3:78,ChipID,55095408,Updated,20230810 00:01:52,Short Chip ID,5408
Current Firmware,3.30,MAC,b4:8a:0a:4d:62:fc,ChipID,38559984,Updated,20230810 00:02:39,Short Chip ID,9984
Current Firmware,3.30,MAC,b4:8a:0a:4e:72:60,ChipID,37777504,Updated,20230810 00:03:24,Short Chip ID,7504
Current Firmware,3.30,MAC,b4:8a:0a:4c:31:2c,ChipID,21770272,Updated,20230810 00:04:07,Short Chip ID,0272
Current Firmware,3.30,MAC,b4:8a:0a:4c:a1:e4,ChipID,21274848,Updated,20230810 00:04:52,Short Chip ID,4848
Current Firmware,3.30,MAC,b4:8a:0a:4c:0f:08,ChipID,256376832,Updated,20230810 00:05:38,Short Chip ID,6832
Current Firmware,3.30,MAC,b4:8a:0a:4c:1b:b8,ChipID,189272240,Updated,20230810 00:06:23,Short Chip ID,2240
Current Firmware,3.30,MAC,b4:8a:0a:4d:64:38,ChipID,71852080,Updated,20230810 00:07:07,Short Chip ID,2080
Current Firmware,3.30,MAC,b4:8a:0a:4c:74:9c,ChipID,72118416,Updated,20230810 00:07:52,Short Chip ID,8416
Current Firmware,3.30,MAC,b4:8a:0a:4c:ab:3c,ChipID,189571120,Updated,20230810 00:08:35,Short Chip ID,1120
